review,sentiment_value,category
Very satisfied customer,1,Overall Experience
Car reeked of stale smoke,-1,Vehicle Quality
Engine warning light came on,-1,Vehicle Quality
Rude staff ignored my complaints,-1,Staff Interaction
Waited over an hour to get car,-1,Process Efficiency
Broken seat adjuster not disclosed,-1,Vehicle Quality
Dirty exterior with bird droppings,-1,Vehicle Quality
Charged for pre-existing damage,-1,Pricing
AC blew warm air only,-1,Vehicle Quality
Reservation lost despite confirmation,-1,Booking Process
No apology for their mistakes,-1,Customer Service
Uncomfortable seats caused back pain,-1,Vehicle Quality
Radio didn't work at all,-1,Vehicle Quality
Overpriced for what we received,-1,Pricing
No help with flat tire,-1,Customer Service
Car had no power when accelerating,-1,Vehicle Quality
Filthy cup holders and dashboard,-1,Vehicle Quality
Extra insurance pushed aggressively,-1,Staff Interaction
Key fob battery died immediately,-1,Vehicle Quality
No child seats available as promised,-1,Vehicle Quality
Scratches all over the body,-1,Vehicle Quality
No refund for early return,-1,Pricing
Dented bumper covered up,-1,Vehicle Quality
Staff argued about damage claims,-1,Staff Interaction
Broken door handle made entry difficult,-1,Vehicle Quality
Reservation system crashed,-1,Booking Process
No response to complaint emails,-1,Communication
Unsafe bald tires,-1,Vehicle Quality
Charged cleaning fee unjustly,-1,Pricing
No GPS despite reservation note,-1,Vehicle Quality
Dirty floor mats with stains,-1,Vehicle Quality
Engine made strange noises,-1,Vehicle Quality
No courtesy shuttle as advertised,-1,Process Efficiency
Rental counter understaffed,-1,Process Efficiency
Car smelled like wet dog,-1,Vehicle Quality
No instructions for features,-1,Communication
Hard to reach customer service,-1,Customer Service
Stained upholstery and seats,-1,Vehicle Quality
Charged twice for same rental,-1,Pricing
No warning about toll charges,-1,Communication
Unreliable pickup service,-1,Process Efficiency
Broken climate control system,-1,Vehicle Quality
Reserved model not available,-1,Vehicle Quality
No compensation for inconvenience,-1,Customer Service
Dirty windows impaired visibility,-1,Vehicle Quality
Excessive paperwork required,-1,Process Efficiency
No help with luggage,-1,Staff Interaction
Dashboard lights flickered,-1,Vehicle Quality
No follow-up after complaint,-1,Customer Service
Uncomfortable ride quality,-1,Vehicle Quality
Misleading photos of vehicle,-1,Vehicle Quality
Late night return not accommodated,-1,Process Efficiency
No spare tire in trunk,-1,Vehicle Quality
Charged for full tank despite refill,-1,Pricing
Worn out brake pads,-1,Vehicle Quality
No response to reservation query,-1,Communication
Unpleasant chemical smell inside,-1,Vehicle Quality
Damaged wheel covers,-1,Vehicle Quality
No apology for overbooking,-1,Customer Service
Difficult to find location,-1,Process Efficiency
No child lock functionality,-1,Vehicle Quality
Excessive wear and tear,-1,Vehicle Quality
No assistance at return area,-1,Staff Interaction
Sticky steering wheel,-1,Vehicle Quality
Broken cup holders,-1,Vehicle Quality
No proper cleaning between rentals,-1,Vehicle Quality
Unclear fuel policy,-1,Communication
Unresponsive to phone calls,-1,Customer Service
Faulty Bluetooth connection,-1,Vehicle Quality
No handicap accessibility,-1,Process Efficiency
Damaged interior trim,-1,Vehicle Quality
No compensation for delay,-1,Customer Service
Unpleasant staff attitude,-1,Staff Interaction
No proper maintenance records,-1,Vehicle Quality
Unsafe vehicle condition,-1,Vehicle Quality
No smile or greeting,-1,Staff Interaction
Unreliable reservation system,-1,Booking Process
No proper signage at location,-1,Process Efficiency
Uncomfortable headrest position,-1,Vehicle Quality
No option to extend rental,-1,Process Efficiency
Unfair damage assessment,-1,Pricing
No proper cleaning supplies,-1,Vehicle Quality
Unhelpful with directions,-1,Staff Interaction
Unreliable pickup time,-1,Process Efficiency
Unpleasant return experience,-1,Overall Experience
Unclear pricing structure,-1,Pricing
Unprofessional email responses,-1,Communication
Unsafe parking area,-1,Process Efficiency
Uncomfortable for tall drivers,-1,Vehicle Quality
Unacceptable wait time,-1,Process Efficiency
Unpleasant first impression,-1,Overall Experience
Unfair mileage charges,-1,Pricing
Unresponsive manager,-1,Customer Service
Unreliable vehicle history,-1,Vehicle Quality
Uncomfortable back seats,-1,Vehicle Quality
Unclear contract terms,-1,Communication
Unhelpful at drop-off,-1,Staff Interaction
Unpleasant customer service,-1,Customer Service
Unreliable app functionality,-1,Booking Process
Unsafe child seat installation,-1,Vehicle Quality
Unfair late return policy,-1,Pricing
Unprofessional uniform,-1,Staff Interaction
Unacceptable cleanliness,-1,Vehicle Quality
Unpleasant smell throughout,-1,Vehicle Quality
Unreliable roadside assistance,-1,Customer Service
Uncomfortable driving position,-1,Vehicle Quality
Unclear insurance options,-1,Communication
Unhelpful with special requests,-1,Staff Interaction
Unpleasant overall experience,-1,Overall Experience
Unfair additional charges,-1,Pricing
Unresponsive to feedback,-1,Customer Service
Unreliable vehicle condition,-1,Vehicle Quality
Uncomfortable climate control,-1,Vehicle Quality
Unclear return instructions,-1,Communication
Unhelpful during emergency,-1,Staff Interaction
Unpleasant staff demeanor,-1,Staff Interaction
Unreliable reservation status,-1,Booking Process
Unsafe driving experience,-1,Vehicle Quality
Uncomfortable noise levels,-1,Vehicle Quality
Unclear damage policy,-1,Communication
Unhelpful with extensions,-1,Staff Interaction
Unpleasant booking process,-1,Booking Process
Unfair deposit handling,-1,Pricing
Unresponsive to emails,-1,Communication
Unreliable pickup location,-1,Process Efficiency
Uncomfortable seat belts,-1,Vehicle Quality
Unclear fuel return policy,-1,Communication
Unhelpful with complaints,-1,Customer Service
Unpleasant vehicle condition,-1,Vehicle Quality
Unfair cleaning charges,-1,Pricing
Unresponsive social media,-1,Communication
Unreliable maintenance,-1,Vehicle Quality
Uncomfortable leg room,-1,Vehicle Quality
Unclear cancellation policy,-1,Communication
Unhelpful with refunds,-1,Customer Service
Unpleasant service attitude,-1,Customer Service
Unreliable special offers,-1,Pricing
Unsafe vehicle handling,-1,Vehicle Quality
Uncomfortable headroom,-1,Vehicle Quality
Unclear additional driver policy,-1,Communication
Unhelpful with insurance claims,-1,Staff Interaction
Unpleasant return process,-1,Process Efficiency
Unfair upgrade charges,-1,Pricing
Unresponsive phone support,-1,Customer Service
Unreliable vehicle availability,-1,Vehicle Quality
Uncomfortable armrest position,-1,Vehicle Quality
Unclear loyalty program,-1,Communication
Unhelpful with damage disputes,-1,Staff Interaction
Unpleasant staff communication,-1,Staff Interaction
Unreliable mileage tracking,-1,Pricing
Unsafe tire condition,-1,Vehicle Quality
Uncomfortable pedal placement,-1,Vehicle Quality
Unclear roadside policy,-1,Communication
Unhelpful with special needs,-1,Staff Interaction
Unpleasant rental duration,-1,Overall Experience
Unfair age restrictions,-1,Pricing
Unresponsive to special requests,-1,Customer Service
Unreliable vehicle features,-1,Vehicle Quality
Uncomfortable for passengers,-1,Vehicle Quality
Unclear late return options,-1,Communication
Unhelpful with technical issues,-1,Staff Interaction
Unpleasant business interaction,-1,Overall Experience
Unfair insurance requirements,-1,Pricing
Unresponsive to urgent matters,-1,Customer Service
Unreliable vehicle performance,-1,Vehicle Quality
Uncomfortable seat material,-1,Vehicle Quality
Unclear additional fees,-1,Communication
Unhelpful with loyalty benefits,-1,Staff Interaction
Unpleasant company policies,-1,Overall Experience
Unfair deposit refund,-1,Pricing
Unresponsive to damage claims,-1,Customer Service
Unreliable vehicle electronics,-1,Vehicle Quality
Uncomfortable for elderly,-1,Vehicle Quality
Unclear vehicle inspection,-1,Communication
Unhelpful with roadside issues,-1,Staff Interaction
Unpleasant corporate experience,-1,Overall Experience
Unfair mileage calculation,-1,Pricing
Unresponsive to complaints,-1,Customer Service
Unreliable transmission,-1,Vehicle Quality
Uncomfortable for disabled,-1,Vehicle Quality
Unclear pickup procedure,-1,Communication
Unhelpful with reservation changes,-1,Staff Interaction
Unpleasant franchise experience,-1,Overall Experience
Unfair young driver fee,-1,Pricing
Unresponsive to suggestions,-1,Customer Service
Unreliable suspension,-1,Vehicle Quality
Uncomfortable for large families,-1,Vehicle Quality
Unclear insurance coverage,-1,Communication
Unhelpful with contract questions,-1,Staff Interaction
Unpleasant airport rental,-1,Overall Experience
Unfair additional driver fee,-1,Pricing
Unresponsive to compliments,-1,Customer Service
Unreliable braking system,-1,Vehicle Quality
Uncomfortable for pets,-1,Vehicle Quality
Unclear special offer terms,-1,Communication
Unhelpful with vehicle choice,-1,Staff Interaction
Unpleasant weekend experience,-1,Overall Experience
Unfair weekend rates,-1,Pricing
Unresponsive to positive feedback,-1,Customer Service
Unreliable steering,-1,Vehicle Quality
Uncomfortable for long trips,-1,Vehicle Quality
Unclear loyalty benefits,-1,Communication
Unhelpful with feature explanations,-1,Staff Interaction
Unpleasant holiday experience,-1,Overall Experience
Unfair holiday pricing,-1,Pricing
Unresponsive to thank you notes,-1,Customer Service
Unreliable engine performance,-1,Vehicle Quality
Uncomfortable for business use,-1,Vehicle Quality
Unclear corporate rates,-1,Communication
Unhelpful with account issues,-1,Staff Interaction
Unpleasant business rental,-1,Overall Experience
Unfair business charges,-1,Pricing
Unresponsive to corporate clients,-1,Customer Service
Unreliable hybrid system,-1,Vehicle Quality
Uncomfortable for city driving,-1,Vehicle Quality
Unclear fuel options,-1,Communication
Unhelpful with technical features,-1,Staff Interaction
Unpleasant luxury rental,-1,Overall Experience
Unfair luxury charges,-1,Pricing
Unresponsive to VIP customers,-1,Customer Service
Unreliable premium features,-1,Vehicle Quality
Uncomfortable sport seats,-1,Vehicle Quality
Unclear premium benefits,-1,Communication
Unhelpful with luxury models,-1,Staff Interaction
Unpleasant SUV experience,-1,Overall Experience
Unfair SUV rates,-1,Pricing
Unresponsive to SUV requests,-1,Customer Service
Unreliable 4WD system,-1,Vehicle Quality
Uncomfortable third row,-1,Vehicle Quality
Unclear SUV policies,-1,Communication
Unhelpful with large vehicle handling,-1,Staff Interaction
Unpleasant minivan rental,-1,Overall Experience
Unfair minivan pricing,-1,Pricing
Unresponsive to family needs,-1,Customer Service
Unreliable sliding doors,-1,Vehicle Quality
Uncomfortable minivan seating,-1,Vehicle Quality
Unclear minivan features,-1,Communication
Unhelpful with child safety,-1,Staff Interaction
Unpleasant convertible experience,-1,Overall Experience
Unfair convertible premium,-1,Pricing
Unresponsive to roof issues,-1,Customer Service
Unreliable convertible top,-1,Vehicle Quality
Uncomfortable wind noise,-1,Vehicle Quality
Unclear convertible policies,-1,Communication
Unhelpful with top operation,-1,Staff Interaction
Unpleasant truck rental,-1,Overall Experience
Unfair truck deposit,-1,Pricing
Unresponsive to truck queries,-1,Customer Service
Unreliable towing capacity,-1,Vehicle Quality
Uncomfortable truck cabin,-1,Vehicle Quality
Unclear truck regulations,-1,Communication
Unhelpful with loading,-1,Staff Interaction
Unpleasant van experience,-1,Overall Experience
Unfair van rental rates,-1,Pricing
Unresponsive to van requests,-1,Customer Service
Unreliable van features,-1,Vehicle Quality
Uncomfortable van seating,-1,Vehicle Quality
Unclear van capacity,-1,Communication
Unhelpful with van dimensions,-1,Staff Interaction
Unpleasant eco-car experience,-1,Overall Experience
Unfair eco-car limitations,-1,Pricing
Unresponsive to eco concerns,-1,Customer Service
Unreliable electric range,-1,Vehicle Quality
Uncomfortable eco-car size,-1,Vehicle Quality
Unclear charging policies,-1,Communication
Unhelpful with EV features,-1,Staff Interaction
Unpleasant sports car rental,-1,Overall Experience
Unfair sports car deposit,-1,Pricing
Unresponsive to performance questions,-1,Customer Service
Unreliable sports handling,-1,Vehicle Quality
Uncomfortable sports suspension,-1,Vehicle Quality
Unclear track day policies,-1,Communication
Unhelpful with performance modes,-1,Staff Interaction
